FACTOR,VALUE
HBW_AM_Pct,0.3254
HBW_MD_Pct,0.1831
HBW_PM_Pct,0.3074
HBW_EV_Pct,0.1841
HBC_AM_Pct,0.2592
HBC_MD_Pct,0.3374
HBC_PM_Pct,0.1853
HBC_EV_Pct,0.2181
HBSch_AM_Pct,0.3784
HBSch_MD_Pct,0.2931
HBSch_PM_Pct,0.2941
HBSch_EV_Pct,0.0344
HBShp_AM_Pct,0.0192
HBShp_MD_Pct,0.4391
HBShp_PM_Pct,0.2496
HBShp_EV_Pct,0.2921
HBOth_AM_Pct,0.0997
HBOth_MD_Pct,0.3129
HBOth_PM_Pct,0.2367
HBOth_EV_Pct,0.3507
NHBW_AM_Pct,0.0697
NHBW_MD_Pct,0.5582
NHBW_PM_Pct,0.2597
NHBW_EV_Pct,0.1124
NHBNW_AM_Pct,0.0498
NHBNW_MD_Pct,0.4752
NHBNW_PM_Pct,0.2426
NHBNW_EV_Pct,0.2324
IX_AM_Pct,0.1786
IX_MD_Pct,0.3291
IX_PM_Pct,0.2604
IX_EV_Pct,0.2319
XI_AM_Pct,0.1786
XI_MD_Pct,0.3291
XI_PM_Pct,0.2604
XI_EV_Pct,0.2319
XX_AM_Pct,0.1786
XX_MD_Pct,0.3291
XX_PM_Pct,0.2604
XX_EV_Pct,0.2319
TR_AM_Pct,0.1590
TR_MD_Pct,0.3522
TR_PM_Pct,0.2274
TR_EV_Pct,0.2614
HBO_AM_Pct,0.0840
HBO_MD_Pct,0.3383
HBO_PM_Pct,0.2401
HBO_EV_Pct,0.3376
NHB_AM_Pct,0.0563
NHB_MD_Pct,0.5024
NHB_PM_Pct,0.2482
NHB_EV_Pct,0.1931
HBW_AM_PA,0.9706
HBW_MD_PA,0.5690
HBW_PM_PA,0.0871
HBW_EV_PA,0.2891
HBC_AM_PA,0.9828
HBC_MD_PA,0.5259
HBC_PM_PA,0.2420
HBC_EV_PA,0.1057
HBSch_AM_PA,0.7899
HBSch_MD_PA,0.4306
HBSch_PM_PA,0.2268
HBSch_EV_PA,0.2391
HBShp_AM_PA,0.7826
HBShp_MD_PA,0.5615
HBShp_PM_PA,0.4604
HBShp_EV_PA,0.4228
HBOth_AM_PA,0.7147
HBOth_MD_PA,0.5517
HBOth_PM_PA,0.5181
HBOth_EV_PA,0.3806
NHBW_AM_PA,0.5000
NHBW_MD_PA,0.5000
NHBW_PM_PA,0.5000
NHBW_EV_PA,0.5000
NHBNW_AM_PA,0.5000
NHBNW_MD_PA,0.5000
NHBNW_PM_PA,0.5000
NHBNW_EV_PA,0.5000
IX_AM_PA,0.8563
IX_MD_PA,0.5627
IX_PM_PA,0.3288
IX_EV_PA,0.3290
XI_AM_PA,0.8563
XI_MD_PA,0.5627
XI_PM_PA,0.3288
XI_EV_PA,0.3290
XX_AM_PA,0.8563
XX_MD_PA,0.5627
XX_PM_PA,0.3288
XX_EV_PA,0.3290
TR_AM_PA,0.5000
TR_MD_PA,0.5000
TR_PM_PA,0.5000
TR_EV_PA,0.5000
HBO_AM_PA,0.7283
HBO_MD_PA,0.5495
HBO_PM_PA,0.5050
HBo_EV_PA,0.3901
NHB_AM_PA,0.5000
NHB_MD_PA,0.5000
NHB_PM_PA,0.5000
NHB_EV_PA,0.5000
